120000, 4, 3.622986e+10
300000, 4, 4.178396e+09
600000, 4, 7.601136e+08
900000, 4, 3.583922e+08
1200000, 4, 2.759003e+08
1500000, 4, 1.996871e+08
1800000, 4, 1.469466e+08
2100000, 4, 1.275917e+08
2400000, 4, 1.110252e+08
2700000, 4, 9.585455e+07
3000000, 4, 8.401584e+07
120000, 4, 5.325108e+10
300000, 4, 1.129913e+10
600000, 4, 4.259609e+09
900000, 4, 2.674921e+09
1200000, 4, 1.632682e+09
1500000, 4, 1.213738e+09
1800000, 4, 8.040534e+08
2100000, 4, 6.705532e+08
2400000, 4, 5.129940e+08
2700000, 4, 4.279854e+08
3000000, 4, 3.855623e+08
120000, 4, 2.032449e+10
300000, 4, 5.465246e+09
600000, 4, 2.001301e+09
900000, 4, 7.474556e+08
1200000, 4, 5.271606e+08
1500000, 4, 2.883507e+08
1800000, 4, 2.283843e+08
2100000, 4, 1.921695e+08
2400000, 4, 1.705545e+08
2700000, 4, 1.480451e+08
3000000, 4, 1.270927e+08
120000, 4, 2.523000e+10
300000, 4, 1.185949e+10
600000, 4, 2.871082e+09
900000, 4, 1.603202e+09
1200000, 4, 1.083712e+09
1500000, 4, 8.916559e+08
1800000, 4, 7.305622e+08
2100000, 4, 5.105998e+08
2400000, 4, 4.140770e+08
2700000, 4, 3.675669e+08
3000000, 4, 3.325729e+08
120000, 4, 2.596439e+10
300000, 4, 4.184720e+09
600000, 4, 1.258685e+09
900000, 4, 7.344552e+08
1200000, 4, 5.361279e+08
1500000, 4, 2.849876e+08
1800000, 4, 2.420223e+08
2100000, 4, 2.056463e+08
2400000, 4, 1.823646e+08
2700000, 4, 1.448847e+08
3000000, 4, 1.222427e+08
120000, 4, 1.890689e+10
300000, 4, 3.864393e+09
600000, 4, 1.012135e+09
900000, 4, 5.533274e+08
1200000, 4, 3.311960e+08
1500000, 4, 2.382325e+08
1800000, 4, 1.844371e+08
2100000, 4, 1.649587e+08
2400000, 4, 1.510192e+08
2700000, 4, 1.473347e+08
3000000, 4, 1.151292e+08
120000, 4, 1.964333e+10
300000, 4, 4.398729e+09
600000, 4, 1.558586e+09
900000, 4, 9.559089e+08
1200000, 4, 5.873117e+08
1500000, 4, 4.025279e+08
1800000, 4, 3.155960e+08
2100000, 4, 1.696448e+08
2400000, 4, 1.350651e+08
2700000, 4, 1.116327e+08
3000000, 4, 9.345665e+07
120000, 4, 3.310199e+10
300000, 4, 4.996584e+09
600000, 4, 1.143609e+09
900000, 4, 5.939118e+08
1200000, 4, 3.550248e+08
1500000, 4, 2.105637e+08
1800000, 4, 1.626899e+08
2100000, 4, 1.311052e+08
2400000, 4, 1.090635e+08
2700000, 4, 9.266746e+07
3000000, 4, 8.020049e+07
120000, 4, 2.843328e+10
300000, 4, 3.961532e+09
600000, 4, 1.047068e+09
900000, 4, 5.818375e+08
1200000, 4, 4.683973e+08
1500000, 4, 3.993918e+08
1800000, 4, 3.152530e+08
2100000, 4, 2.003080e+08
2400000, 4, 1.640411e+08
2700000, 4, 1.324863e+08
3000000, 4, 1.213770e+08
120000, 4, 2.515185e+10
300000, 4, 4.175019e+09
600000, 4, 1.248591e+09
900000, 4, 6.490719e+08
1200000, 4, 4.356013e+08
1500000, 4, 3.847333e+08
1800000, 4, 3.359002e+08
2100000, 4, 3.087244e+08
