MY_OPTIMIZER seed: 0
  f4 in 2-D, instance 15: FEs=40, fbest-ftarget=2.6675e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:22 2010
  f5 in 2-D, instance 1: FEs=40, fbest-ftarget=9.7349e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 2: FEs=40, fbest-ftarget=2.2808e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 3: FEs=40, fbest-ftarget=5.4402e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 4: FEs=40, fbest-ftarget=7.1851e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 5: FEs=40, fbest-ftarget=4.8162e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 6: FEs=40, fbest-ftarget=3.2195e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 7: FEs=40, fbest-ftarget=7.6851e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 8: FEs=40, fbest-ftarget=6.0498e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 9: FEs=40, fbest-ftarget=1.0313e+01, elapsed time [h]: 0.00
  f5 in 2-D, instance 10: FEs=40, fbest-ftarget=4.3867e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 11: FEs=40, fbest-ftarget=4.8459e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 12: FEs=40, fbest-ftarget=1.7886e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 13: FEs=40, fbest-ftarget=4.7758e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 14: FEs=40, fbest-ftarget=5.9840e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 15: FEs=40, fbest-ftarget=1.1361e+01, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:23 2010
  f6 in 2-D, instance 1: FEs=40, fbest-ftarget=2.2062e+01, elapsed time [h]: 0.00
  f6 in 2-D, instance 2: FEs=40, fbest-ftarget=4.6637e-01, elapsed time [h]: 0.00
  f6 in 2-D, instance 3: FEs=40, fbest-ftarget=2.8338e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 4: FEs=40, fbest-ftarget=2.7719e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 5: FEs=40, fbest-ftarget=3.3904e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 6: FEs=40, fbest-ftarget=8.1473e-02, elapsed time [h]: 0.00
  f6 in 2-D, instance 7: FEs=40, fbest-ftarget=7.7190e+03, elapsed time [h]: 0.00
  f6 in 2-D, instance 8: FEs=40, fbest-ftarget=9.5386e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 9: FEs=40, fbest-ftarget=8.4975e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 10: FEs=40, fbest-ftarget=5.1780e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 11: FEs=40, fbest-ftarget=1.1876e-01, elapsed time [h]: 0.00
  f6 in 2-D, instance 12: FEs=40, fbest-ftarget=6.2855e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 13: FEs=40, fbest-ftarget=3.8280e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 14: FEs=40, fbest-ftarget=6.0685e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 15: FEs=40, fbest-ftarget=9.3683e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:23 2010
  f7 in 2-D, instance 1: FEs=40, fbest-ftarget=2.0686e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 2: FEs=40, fbest-ftarget=2.2490e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 3: FEs=40, fbest-ftarget=1.2807e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 4: FEs=40, fbest-ftarget=7.6298e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 5: FEs=40, fbest-ftarget=2.5215e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 6: FEs=40, fbest-ftarget=2.6400e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 7: FEs=40, fbest-ftarget=2.7461e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 8: FEs=40, fbest-ftarget=8.8863e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 9: FEs=40, fbest-ftarget=3.9947e-02, elapsed time [h]: 0.00
  f7 in 2-D, instance 10: FEs=40, fbest-ftarget=3.6585e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 11: FEs=40, fbest-ftarget=3.7183e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 12: FEs=40, fbest-ftarget=1.9909e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 13: FEs=40, fbest-ftarget=3.1259e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 14: FEs=40, fbest-ftarget=6.9184e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 15: FEs=40, fbest-ftarget=1.5263e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:24 2010
  f8 in 2-D, instance 1: FEs=40, fbest-ftarget=6.8504e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 2: FEs=40, fbest-ftarget=4.0210e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 3: FEs=40, fbest-ftarget=6.9485e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 4: FEs=40, fbest-ftarget=3.8787e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 5: FEs=40, fbest-ftarget=4.6277e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 6: FEs=40, fbest-ftarget=6.8778e-01, elapsed time [h]: 0.00
  f8 in 2-D, instance 7: FEs=40, fbest-ftarget=9.1824e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 8: FEs=40, fbest-ftarget=4.2956e+01, elapsed time [h]: 0.00
  f8 in 2-D, instance 9: FEs=40, fbest-ftarget=1.0038e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 10: FEs=40, fbest-ftarget=2.8516e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 11: FEs=40, fbest-ftarget=9.7954e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 12: FEs=40, fbest-ftarget=9.9378e+01, elapsed time [h]: 0.00
  f8 in 2-D, instance 13: FEs=40, fbest-ftarget=1.3221e+01, elapsed time [h]: 0.00
  f8 in 2-D, instance 14: FEs=40, fbest-ftarget=2.3699e+00, elapsed time [h]: 0.00
  f8 in 2-D, instance 15: FEs=40, fbest-ftarget=2.6756e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:24 2010
  f9 in 2-D, instance 1: FEs=40, fbest-ftarget=1.5344e-01, elapsed time [h]: 0.00
  f9 in 2-D, instance 2: FEs=40, fbest-ftarget=6.2731e+01, elapsed time [h]: 0.00
  f9 in 2-D, instance 3: FEs=40, fbest-ftarget=7.8272e-01, elapsed time [h]: 0.00
  f9 in 2-D, instance 4: FEs=40, fbest-ftarget=1.7060e+01, elapsed time [h]: 0.00
  f9 in 2-D, instance 5: FEs=40, fbest-ftarget=1.6658e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 6: FEs=40, fbest-ftarget=4.8493e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 7: FEs=40, fbest-ftarget=8.6358e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 8: FEs=40, fbest-ftarget=2.1280e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 9: FEs=40, fbest-ftarget=4.9680e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 10: FEs=40, fbest-ftarget=3.5477e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 11: FEs=40, fbest-ftarget=7.1428e+00, elapsed time [h]: 0.00
  f9 in 2-D, instance 12: FEs=40, fbest-ftarget=1.1742e+01, elapsed time [h]: 0.00
  f9 in 2-D, instance 13: FEs=40, fbest-ftarget=6.8865e-01, elapsed time [h]: 0.00
  f9 in 2-D, instance 14: FEs=40, fbest-ftarget=4.9411e+01, elapsed time [h]: 0.00
  f9 in 2-D, instance 15: FEs=40, fbest-ftarget=2.9668e+00, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:25 2010
  f10 in 2-D, instance 1: FEs=40, fbest-ftarget=1.8939e+02, elapsed time [h]: 0.00
  f10 in 2-D, instance 2: FEs=40, fbest-ftarget=7.0356e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 3: FEs=40, fbest-ftarget=6.1399e+05, elapsed time [h]: 0.00
  f10 in 2-D, instance 4: FEs=40, fbest-ftarget=4.8930e+02, elapsed time [h]: 0.00
  f10 in 2-D, instance 5: FEs=40, fbest-ftarget=8.7765e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 6: FEs=40, fbest-ftarget=2.5262e+02, elapsed time [h]: 0.00
  f10 in 2-D, instance 7: FEs=40, fbest-ftarget=2.6469e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 8: FEs=40, fbest-ftarget=3.5064e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 9: FEs=40, fbest-ftarget=3.2409e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 10: FEs=40, fbest-ftarget=2.0336e+03, elapsed time [h]: 0.00
  f10 in 2-D, instance 11: FEs=40, fbest-ftarget=1.0237e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 12: FEs=40, fbest-ftarget=8.0360e+04, elapsed time [h]: 0.00
  f10 in 2-D, instance 13: FEs=40, fbest-ftarget=4.3191e+03, elapsed time [h]: 0.00
  f10 in 2-D, instance 14: FEs=40, fbest-ftarget=5.0919e+03, elapsed time [h]: 0.00
  f10 in 2-D, instance 15: FEs=40, fbest-ftarget=2.6667e+03, elapsed time [h]: 0.00
    date and time: Wed Jan 27 15:28:25 2010
  f11 in 2-D, instance 1: FEs=40, fbest-ftarget=2.2342e+04, elapsed time [h]: 0.00
  f11 in 2-D, instance 2: FEs=40, fbest-ftarget=2.0184e+02, elapsed time [h]: 0.00
  f11 in 2-D, instance 3: FEs=40, fbest-ftarget=1.2670e+03, elapsed time [h]: 0.00
  f11 in 2-D, instance 4: FEs=40, fbest-ftarget=2.7333e+04, elapsed time [h]: 0.00
  f11 in 2-D, instance 5: FEs=40, fbest-ftarget=2.6049e+05, elapsed time [h]: 0.00
  f11 in 2-D, instance 6: FEs=40, fbest-ftarget=2.3515e+04, elapsed time [h]: 0.00
  f11 in 2-D, instance 7: FEs=40, fbest-ftarget=1.1473e+03, elapsed time [h]: 0.00
